ID,Date,Open,High,Low,Close,Volume
0,2021-12-10,120500.0,121500.0,119500.0,120500.0,2512642
1,2021-12-13,121000.0,124000.0,121000.0,121500.0,3329176
2,2021-12-14,120500.0,123000.0,120000.0,121000.0,2201003
3,2021-12-15,120000.0,123500.0,120000.0,123500.0,2681332
4,2021-12-16,125000.0,125500.0,122500.0,124000.0,3869086
5,2021-12-17,120500.0,123000.0,120500.0,122000.0,3850444
6,2021-12-20,121500.0,123500.0,120500.0,120500.0,2846815
7,2021-12-21,124000.0,124500.0,122500.0,124500.0,3678590
8,2021-12-22,127500.0,128500.0,126000.0,127000.0,3817689
9,2021-12-23,129000.0,129000.0,126500.0,127500.0,2398358
10,2021-12-24,129000.0,130000.0,128000.0,128000.0,2462683
11,2021-12-27,128500.0,129000.0,126000.0,126000.0,2684135
12,2021-12-28,126500.0,128000.0,124500.0,127500.0,4086063
13,2021-12-29,127500.0,128500.0,125500.0,127000.0,3832154
14,2021-12-30,131000.0,133500.0,130000.0,131000.0,5172987
15,2022-01-04,129500.0,130000.0,127500.0,128500.0,3622369
16,2022-01-05,129000.0,129000.0,121500.0,125500.0,7414954
17,2022-01-06,123500.0,127000.0,123000.0,125000.0,3725569
18,2022-01-07,127000.0,129000.0,126500.0,127000.0,3270119
19,2022-01-10,126500.0,127000.0,123000.0,124500.0,3449197
20,2022-01-11,125500.0,128500.0,124500.0,128000.0,3958787
21,2022-01-12,129500.0,130000.0,126500.0,128500.0,3552174
22,2022-01-13,128500.0,130000.0,128000.0,129500.0,4155984
23,2022-01-14,128500.0,129000.0,126000.0,128500.0,3769648
24,2022-01-17,127500.0,128000.0,124500.0,127000.0,3730393
25,2022-01-18,126500.0,127500.0,125000.0,126500.0,3607850
26,2022-01-19,123500.0,128500.0,123500.0,127000.0,4094609
27,2022-01-20,126000.0,126500.0,123500.0,125000.0,5441986
28,2022-01-21,121500.0,122500.0,118000.0,119000.0,6465040
29,2022-01-24,116500.0,120500.0,116500.0,119000.0,4883822
30,2022-01-25,118000.0,120000.0,116500.0,118000.0,5702595
31,2022-01-26,118000.0,118000.0,118000.0,118000.0,0
32,2022-01-27,119500.0,119500.0,111000.0,113500.0,6679404
33,2022-01-28,115000.0,121500.0,114500.0,120500.0,4776510
34,2022-02-03,124500.0,127000.0,124000.0,124000.0,5171178
35,2022-02-04,125500.0,127000.0,124000.0,124500.0,3037097
36,2022-02-07,123000.0,123500.0,119500.0,123000.0,4804261
37,2022-02-08,123000.0,123000.0,123000.0,123000.0,0
38,2022-02-09,123000.0,123000.0,123000.0,123000.0,0
39,2022-02-10,129000.0,131000.0,127000.0,129500.0,7269729
40,2022-02-11,130500.0,132500.0,130000.0,132000.0,6057207
41,2022-02-14,130000.0,132500.0,129500.0,132500.0,4962205
42,2022-02-15,131500.0,132000.0,127000.0,127000.0,5097120
43,2022-02-16,131000.0,132500.0,130000.0,130500.0,3499809
44,2022-02-17,130500.0,134000.0,130000.0,133000.0,5433402
45,2022-02-18,131500.0,133000.0,129500.0,131500.0,3108887
46,2022-02-21,131500.0,131500.0,131500.0,131500.0,0
47,2022-02-22,131500.0,131500.0,131500.0,131500.0,0
48,2022-02-23,131500.0,131500.0,131500.0,131500.0,0
49,2022-02-24,125500.0,126000.0,122000.0,122500.0,5748069
50,2022-02-25,125500.0,126000.0,122500.0,123000.0,3309625
51,2022-02-28,123000.0,123000.0,123000.0,123000.0,0
52,2022-03-02,124500.0,126500.0,123000.0,125000.0,2903340
53,2022-03-03,128000.0,129500.0,127000.0,129000.0,3088097
54,2022-03-04,129000.0,129000.0,129000.0,129000.0,0
55,2022-03-07,119000.0,121000.0,119000.0,119500.0,5203286
56,2022-03-08,117000.0,119500.0,116500.0,118000.0,3619045
57,2022-03-10,118000.0,118000.0,118000.0,118000.0,0
58,2022-03-11,118000.0,118000.0,118000.0,118000.0,0
59,2022-03-14,115500.0,117000.0,114500.0,116000.0,3172353
60,2022-03-15,116000.0,116000.0,116000.0,116000.0,0
61,2022-03-16,116000.0,116000.0,116000.0,116000.0,0
62,2022-03-17,116000.0,116000.0,116000.0,116000.0,0
63,2022-03-18,124000.0,125000.0,121000.0,124000.0,4493159
64,2022-03-21,124000.0,124000.0,124000.0,124000.0,0
65,2022-03-22,121000.0,124000.0,121000.0,123500.0,2246439
66,2022-03-23,124000.0,124500.0,122000.0,123500.0,4085633
67,2022-03-24,121000.0,122000.0,119500.0,120500.0,4215272
68,2022-03-25,122000.0,123000.0,118000.0,118000.0,5514940
69,2022-03-28,117500.0,119500.0,116500.0,118000.0,3234792
70,2022-03-29,119500.0,120500.0,118500.0,120000.0,3375247
71,2022-03-30,123000.0,123000.0,120500.0,121000.0,3436282
72,2022-03-31,119500.0,120000.0,117500.0,118000.0,4558063
73,2022-04-01,117000.0,117500.0,116000.0,116000.0,3851558
74,2022-04-04,115000.0,117500.0,114500.0,117000.0,2470792
75,2022-04-05,117500.0,118000.0,116000.0,116500.0,2101474
76,2022-04-06,114500.0,115500.0,113000.0,113000.0,4541938
77,2022-04-07,111500.0,114500.0,110500.0,113500.0,5027865
78,2022-04-08,113000.0,114000.0,110500.0,112000.0,4268316
79,2022-04-11,111000.0,113000.0,110500.0,111500.0,2390786
80,2022-04-12,110500.0,113000.0,110500.0,111000.0,2738163
81,2022-04-13,112000.0,113000.0,111000.0,113000.0,2484490
82,2022-04-14,113000.0,113000.0,110000.0,110000.0,4715700
83,2022-04-15,108000.0,108500.0,107000.0,108000.0,3694012
84,2022-04-18,107000.0,109500.0,106500.0,109000.0,2670439
85,2022-04-19,110000.0,112500.0,109500.0,112500.0,3021192
86,2022-04-20,112500.0,113000.0,111000.0,112500.0,2905007
87,2022-04-21,112500.0,115000.0,112500.0,113000.0,3199858
88,2022-04-22,110500.0,112000.0,110500.0,110500.0,2360834
89,2022-04-25,109000.0,109500.0,108000.0,108000.0,2282343
90,2022-04-26,109500.0,111000.0,108000.0,111000.0,2969516
91,2022-04-27,108000.0,109500.0,107500.0,108500.0,3261290
92,2022-04-28,109500.0,110000.0,108000.0,109500.0,2804966
93,2022-04-29,110000.0,112500.0,109500.0,112500.0,3752415
94,2022-05-02,110000.0,111500.0,110000.0,110500.0,2175384
95,2022-05-03,111000.0,112000.0,109500.0,110000.0,2676115
96,2022-05-04,110500.0,111000.0,108500.0,109500.0,2491890
97,2022-05-06,108000.0,108500.0,106500.0,107500.0,2566813
98,2022-05-10,107000.0,111000.0,107000.0,110000.0,4141923
99,2022-05-11,110500.0,112500.0,108000.0,110500.0,3658168
100,2022-05-12,109500.0,111500.0,108500.0,109000.0,4132948
101,2022-05-13,109000.0,112500.0,109000.0,112500.0,4003349
102,2022-05-16,113500.0,114000.0,110000.0,110500.0,3930044
103,2022-05-17,111000.0,113000.0,110500.0,112500.0,2056143
104,2022-05-18,114000.0,115000.0,113000.0,113500.0,3570113
105,2022-05-19,110500.0,112500.0,110000.0,111000.0,3680049
106,2022-05-20,111500.0,113000.0,111000.0,112500.0,2398978
107,2022-05-23,113000.0,113500.0,111000.0,113000.0,3160028
108,2022-05-24,111500.0,112000.0,108500.0,108500.0,4491835
109,2022-05-25,109500.0,110000.0,107000.0,108000.0,4151560
110,2022-05-26,107500.0,108500.0,101500.0,103000.0,8523001
111,2022-05-27,105500.0,107000.0,105000.0,106000.0,3686487
112,2022-05-30,108000.0,108000.0,106000.0,107000.0,2054526
113,2022-05-31,106500.0,108000.0,105500.0,108000.0,4024509
114,2022-06-02,106000.0,107500.0,106000.0,107000.0,3097583
115,2022-06-03,108000.0,108500.0,107000.0,107000.0,1638006
116,2022-06-07,105500.0,106000.0,103500.0,104000.0,3174521
117,2022-06-08,104500.0,107500.0,104500.0,106000.0,3075530
118,2022-06-09,105500.0,107000.0,104500.0,105500.0,4640744
119,2022-06-10,104000.0,104500.0,102500.0,103500.0,3480289
120,2022-06-13,100000.0,101000.0,99000.0,99000.0,4133447
121,2022-06-14,96900.0,99600.0,96800.0,99100.0,3242550
122,2022-06-15,98500.0,98900.0,96700.0,97900.0,2578500
123,2022-06-16,99900.0,101500.0,97100.0,97400.0,3810703
124,2022-06-17,95100.0,96400.0,95000.0,96400.0,3965464
125,2022-06-20,96700.0,96800.0,93100.0,94500.0,2386222
126,2022-06-21,94700.0,95900.0,93900.0,95200.0,2707302
127,2022-06-22,95700.0,95700.0,91700.0,92200.0,3509830
128,2022-06-23,92100.0,93000.0,89700.0,90200.0,3983116
129,2022-06-24,90500.0,92000.0,90500.0,91600.0,3045970
130,2022-06-27,92700.0,96100.0,92600.0,95000.0,3408749
131,2022-06-28,94500.0,95300.0,93700.0,95300.0,2022966
132,2022-06-29,93300.0,94900.0,92900.0,94000.0,2529973
133,2022-06-30,91500.0,93100.0,91000.0,91000.0,3098854
134,2022-07-01,91000.0,92500.0,87100.0,87500.0,4959176
135,2022-07-04,87500.0,89600.0,86300.0,89100.0,4331728
136,2022-07-05,90400.0,93400.0,90400.0,92500.0,3560085
137,2022-07-06,92800.0,93600.0,90900.0,92100.0,3981326
138,2022-07-07,91300.0,95200.0,91300.0,93900.0,3330794
139,2022-07-08,95900.0,96500.0,94500.0,94800.0,2814478
140,2022-07-11,95000.0,95700.0,93500.0,93700.0,1885425
141,2022-07-12,94000.0,94000.0,91700.0,93300.0,2385688
142,2022-07-13,94600.0,96400.0,93800.0,94000.0,2721816
143,2022-07-14,92800.0,95500.0,92300.0,94000.0,2550307
144,2022-07-15,95900.0,99000.0,95500.0,98700.0,4457208
145,2022-07-18,101000.0,103500.0,100000.0,101000.0,4564780
146,2022-07-19,100000.0,100500.0,98700.0,100000.0,2709084
147,2022-07-20,103000.0,104500.0,101000.0,102000.0,3981053
148,2022-07-21,102000.0,103000.0,100500.0,102500.0,2143984
149,2022-07-22,102500.0,102500.0,100000.0,100000.0,3126556
150,2022-07-25,99100.0,101500.0,98900.0,100000.0,2185108
151,2022-07-26,100500.0,101000.0,99100.0,100500.0,1636970
152,2022-07-27,101000.0,101500.0,98600.0,100000.0,3159499
153,2022-07-28,101000.0,101500.0,98900.0,99400.0,3359717
154,2022-07-29,99900.0,100000.0,97400.0,97900.0,3899079
155,2022-08-01,97200.0,98100.0,96500.0,97100.0,2007646
156,2022-08-02,97200.0,97200.0,96200.0,96500.0,1916851
157,2022-08-03,96900.0,97500.0,96100.0,97500.0,1703330
158,2022-08-04,98000.0,98100.0,97100.0,97500.0,1960526
159,2022-08-05,98100.0,98700.0,97400.0,98500.0,2052852
160,2022-08-08,97700.0,97700.0,95800.0,96300.0,3206548
161,2022-08-09,96000.0,96100.0,94500.0,95100.0,3152955
162,2022-08-10,91800.0,93000.0,91800.0,91800.0,4356568
163,2022-08-11,93500.0,94400.0,92600.0,93300.0,5206962
164,2022-08-12,92800.0,94400.0,92600.0,93300.0,1910127
165,2022-08-16,94500.0,97600.0,94400.0,96700.0,4267280
166,2022-08-17,96800.0,97600.0,95900.0,97100.0,1764674
167,2022-08-18,95900.0,96400.0,95300.0,95700.0,1889587
168,2022-08-19,97000.0,97500.0,95900.0,96400.0,1890839
169,2022-08-22,95200.0,95600.0,94000.0,95200.0,2293601
170,2022-08-23,94100.0,95400.0,93600.0,93600.0,1932822
171,2022-08-24,93900.0,94200.0,93000.0,93200.0,1447036
172,2022-08-25,93600.0,94100.0,92100.0,94100.0,2189458
173,2022-08-26,95400.0,96800.0,94700.0,95100.0,2301949
174,2022-08-29,92700.0,93300.0,92000.0,92500.0,2619260
175,2022-08-30,92700.0,93400.0,92400.0,93200.0,1595242
176,2022-08-31,92600.0,95500.0,92100.0,95200.0,2421669
177,2022-09-01,93900.0,93900.0,92300.0,92400.0,2337521
178,2022-09-02,92700.0,93300.0,91600.0,91700.0,2036818
179,2022-09-05,91800.0,92400.0,90400.0,91100.0,1706148
180,2022-09-06,91900.0,92900.0,91100.0,91800.0,1389821
181,2022-09-07,91100.0,91100.0,89900.0,90400.0,2053413
182,2022-09-08,90500.0,91000.0,90000.0,90400.0,2012123
183,2022-09-13,91700.0,95200.0,91700.0,94800.0,3288428
184,2022-09-14,91700.0,93400.0,91300.0,93000.0,2444928
185,2022-09-15,92900.0,93000.0,91500.0,92000.0,1755820
186,2022-09-16,90900.0,91400.0,90000.0,91200.0,2243179
187,2022-09-19,90800.0,91500.0,90000.0,90000.0,2078633
188,2022-09-20,89000.0,90600.0,87500.0,88000.0,4259789
189,2022-09-21,87500.0,88500.0,86300.0,88000.0,2954420
190,2022-09-22,86300.0,86900.0,85900.0,86000.0,2204430
191,2022-09-23,85500.0,86600.0,83300.0,83500.0,3932242
192,2022-09-26,81500.0,83200.0,81500.0,82500.0,3281145
193,2022-09-27,82200.0,82700.0,80700.0,82000.0,2606333
194,2022-09-28,81900.0,83500.0,80500.0,81200.0,3068181
195,2022-09-29,82500.0,82900.0,80500.0,80800.0,2064798
196,2022-09-30,80900.0,83900.0,80400.0,83100.0,4711130
197,2022-10-04,85200.0,87200.0,85200.0,86200.0,4277404
198,2022-10-05,90000.0,90400.0,88100.0,89800.0,5927256
199,2022-10-06,90900.0,92000.0,89800.0,89900.0,3039698
200,2022-10-07,89600.0,91800.0,87800.0,91200.0,3100583
201,2022-10-11,89700.0,91200.0,88000.0,90200.0,3840842
202,2022-10-12,91000.0,94000.0,90900.0,94000.0,4648231
203,2022-10-13,93400.0,94900.0,92800.0,94900.0,4390570
204,2022-10-14,96000.0,96600.0,94300.0,95500.0,3516437
205,2022-10-17,94600.0,95300.0,94000.0,95200.0,2134558
206,2022-10-18,95900.0,96200.0,94600.0,95800.0,2618680
207,2022-10-19,94700.0,94900.0,92700.0,92900.0,3684934
208,2022-10-20,91000.0,91800.0,89000.0,90200.0,4547678
209,2022-10-21,89800.0,91400.0,89700.0,90500.0,2206754
210,2022-10-24,92200.0,93100.0,91200.0,91800.0,2165991
211,2022-10-25,91900.0,94800.0,91000.0,93500.0,2656194
212,2022-10-26,93300.0,95500.0,93200.0,93900.0,3310322
213,2022-10-27,95100.0,95100.0,89800.0,90000.0,4550273
214,2022-10-28,87100.0,87800.0,83000.0,83400.0,7748514
215,2022-10-31,84300.0,85400.0,82400.0,82700.0,6271574
216,2022-11-01,82700.0,83900.0,81400.0,83900.0,3820185
217,2022-11-02,84200.0,85500.0,83600.0,84500.0,2536363
218,2022-11-03,82600.0,83500.0,81900.0,82700.0,2901380
219,2022-11-04,82700.0,84600.0,81700.0,84500.0,3032985
220,2022-11-07,85400.0,86800.0,85000.0,86500.0,2765284
221,2022-11-08,87600.0,89000.0,87400.0,87700.0,2799575
222,2022-11-09,88100.0,89200.0,86600.0,89200.0,2619752
223,2022-11-10,89000.0,90800.0,88300.0,89100.0,3856811
224,2022-11-11,95200.0,95300.0,92500.0,93500.0,5002149
225,2022-11-14,93900.0,93900.0,90900.0,90900.0,2483441
226,2022-11-15,91300.0,92100.0,90400.0,91600.0,2460465
227,2022-11-16,92000.0,92400.0,90300.0,91500.0,2609199
228,2022-11-17,82400.0,88500.0,82000.0,87700.0,3703870
229,2022-11-18,88700.0,91500.0,88100.0,88400.0,2981192
230,2022-11-21,87600.0,87700.0,86100.0,86300.0,2111523
231,2022-11-22,85500.0,86600.0,84900.0,85200.0,1617131
232,2022-11-23,86100.0,86700.0,84900.0,85200.0,1480400
233,2022-11-24,86900.0,87200.0,85700.0,86900.0,2148255
234,2022-11-25,87200.0,87300.0,85100.0,85100.0,1439011
235,2022-11-28,84100.0,84200.0,82900.0,83100.0,2471506
236,2022-11-29,82700.0,83800.0,82100.0,83700.0,1501783
237,2022-11-30,83200.0,85400.0,83100.0,85000.0,3332708
